colour	x	y	label	showSelectedlegendcolourfill	clickSelects	showSelected1	PANEL	group
#A58AFF	1959.5	31.1320975609756	Afghanistan	South Asia	Afghanistan	Afghanistan	4	148
#C49A00	1959.5	62.2543658536585	Albania	Europe & Central Asia (all income levels)	Albania	Albania	4	34
#00C094	1959.5	46.9853902439025	Algeria	Middle East & North Africa (all income levels)	Algeria	Algeria	4	124
#FB61D7	1959.5	32.9853414634146	Angola	Sub-Saharan Africa (all income levels)	Angola	Angola	4	156
#53B400	1959.5	72.2480487804878	Antigua and Barbuda	Latin America & Caribbean (all income levels)	Antigua and Barbuda	Antigua and Barbuda	4	86
#53B400	1959.5	65.1751463414634	Argentina	Latin America & Caribbean (all income levels)	Argentina	Argentina	4	87
#C49A00	1959.5	65.8539512195122	Armenia	Europe & Central Asia (all income levels)	Armenia	Armenia	4	35
#53B400	1959.5	65.5693658536586	Aruba	Latin America & Caribbean (all income levels)	Aruba	Aruba	4	88
#F8766D	1959.5	70.8170731708781	Australia	East Asia & Pacific (all income levels)	Australia	Australia	4	1
#C49A00	1959.5	68.5856097560976	Austria	Europe & Central Asia (all income levels)	Austria	Austria	4	36
#C49A00	1959.5	60.836243902439	Azerbaijan	Europe & Central Asia (all income levels)	Azerbaijan	Azerbaijan	4	37
#53B400	1959.5	63.2249268292683	Bahamas, The	Latin America & Caribbean (all income levels)	Bahamas, The	Bahamas, The	4	89
#00C094	1959.5	51.7798048780488	Bahrain	Middle East & North Africa (all income levels)	Bahrain	Bahrain	4	125
#A58AFF	1959.5	47.7585365853659	Bangladesh	South Asia	Bangladesh	Bangladesh	4	149
#53B400	1959.5	64.4752682926829	Barbados	Latin America & Caribbean (all income levels)	Barbados	Barbados	4	90
#C49A00	1959.5	68.2738780487805	Belarus	Europe & Central Asia (all income levels)	Belarus	Belarus	4	38
#C49A00	1959.5	69.7019512195122	Belgium	Europe & Central Asia (all income levels)	Belgium	Belgium	4	39
#53B400	1959.5	60.8958536585366	Belize	Latin America & Caribbean (all income levels)	Belize	Belize	4	91
#FB61D7	1959.5	35.5763414634146	Benin	Sub-Saharan Africa (all income levels)	Benin	Benin	4	157
#00B6EB	1959.5	77.8648780487805	Bermuda	North America	Bermuda	Bermuda	4	145
#A58AFF	1959.5	37.0762682926829	Bhutan	South Asia	Bhutan	Bhutan	4	150
#53B400	1959.5	42.6520487804878	Bolivia	Latin America & Caribbean (all income levels)	Bolivia	Bolivia	4	92
#C49A00	1959.5	60.2073658536586	Bosnia and Herzegovina	Europe & Central Asia (all income levels)	Bosnia and Herzegovina	Bosnia and Herzegovina	4	40
#FB61D7	1959.5	50.537243902439	Botswana	Sub-Saharan Africa (all income levels)	Botswana	Botswana	4	158
#53B400	1959.5	54.4922195121951	Brazil	Latin America & Caribbean (all income levels)	Brazil	Brazil	4	93
#F8766D	1959.5	62.3364634146342	Brunei Darussalam	East Asia & Pacific (all income levels)	Brunei Darussalam	Brunei Darussalam	4	2
#C49A00	1959.5	69.2475609756098	Bulgaria	Europe & Central Asia (all income levels)	Bulgaria	Bulgaria	4	41
