size	colour	x	y	key	showSelectedlegendcolourfill	clickSelects	showSelected1	PANEL	fill
2.13402561685752	#00C094	6.928	51.6086829268293	United Arab Emirates	Middle East & North Africa (all income levels)	United Arab Emirates	1960	3	#00C094
2.14113807981099	#00C094	6.91	52.6601463414634	United Arab Emirates	Middle East & North Africa (all income levels)	United Arab Emirates	1961	3	#00C094
2.15027589949552	#00C094	6.893	53.7608292682927	United Arab Emirates	Middle East & North Africa (all income levels)	United Arab Emirates	1962	3	#00C094
2.16021328425315	#00C094	6.877	54.9011951219512	United Arab Emirates	Middle East & North Africa (all income levels)	United Arab Emirates	1963	3	#00C094
2.16959559491176	#00C094	6.861	56.066243902439	United Arab Emirates	Middle East & North Africa (all income levels)	United Arab Emirates	1964	3	#00C094
2.17787186984743	#00C094	6.841	57.2364146341463	United Arab Emirates	Middle East & North Africa (all income levels)	United Arab Emirates	1965	3	#00C094
2.18488171129578	#00C094	6.816	58.3916585365854	United Arab Emirates	Middle East & North Africa (all income levels)	United Arab Emirates	1966	3	#00C094
2.19158561857718	#00C094	6.783	59.5129268292683	United Arab Emirates	Middle East & North Africa (all income levels)	United Arab Emirates	1967	3	#00C094
2.19983896597154	#00C094	6.738	60.5826829268293	United Arab Emirates	Middle East & North Africa (all income levels)	United Arab Emirates	1968	3	#00C094
2.21178253887457	#00C094	6.679	61.5878780487805	United Arab Emirates	Middle East & North Africa (all income levels)	United Arab Emirates	1969	3	#00C094
2.22841418354376	#00C094	6.605	62.5194878048781	United Arab Emirates	Middle East & North Africa (all income levels)	United Arab Emirates	1970	3	#00C094
2.24895676062057	#00C094	6.512	63.373	United Arab Emirates	Middle East & North Africa (all income levels)	United Arab Emirates	1971	3	#00C094
2.2721892157869	#00C094	6.402	64.1599512195122	United Arab Emirates	Middle East & North Africa (all income levels)	United Arab Emirates	1972	3	#00C094
2.29763834842987	#00C094	6.279	64.8883170731707	United Arab Emirates	Middle East & North Africa (all income levels)	United Arab Emirates	1973	3	#00C094
2.32484175444879	#00C094	6.146	65.5626341463415	United Arab Emirates	Middle East & North Africa (all income levels)	United Arab Emirates	1974	3	#00C094
2.35324308848019	#00C094	6.009	66.1853902439024	United Arab Emirates	Middle East & North Africa (all income levels)	United Arab Emirates	1975	3	#00C094
2.38294375205809	#00C094	5.873	66.7605853658537	United Arab Emirates	Middle East & North Africa (all income levels)	United Arab Emirates	1976	3	#00C094
2.41326898579214	#00C094	5.744	67.291243902439	United Arab Emirates	Middle East & North Africa (all income levels)	United Arab Emirates	1977	3	#00C094
2.44244530976722	#00C094	5.624	67.7853658536585	United Arab Emirates	Middle East & North Africa (all income levels)	United Arab Emirates	1978	3	#00C094
2.4686180109556	#00C094	5.517	68.2474634146342	United Arab Emirates	Middle East & North Africa (all income levels)	United Arab Emirates	1979	3	#00C094
2.49090445250535	#00C094	5.423	68.6840487804878	United Arab Emirates	Middle East & North Africa (all income levels)	United Arab Emirates	1980	3	#00C094
2.50918294388294	#00C094	5.344	69.0996097560976	United Arab Emirates	Middle East & North Africa (all income levels)	United Arab Emirates	1981	3	#00C094
2.52436712702662	#00C094	5.274	69.4961463414634	United Arab Emirates	Middle East & North Africa (all income levels)	United Arab Emirates	1982	3	#00C094
2.53789509058479	#00C094	5.209	69.8756829268293	United Arab Emirates	Middle East & North Africa (all income levels)	United Arab Emirates	1983	3	#00C094
2.55159495572554	#00C094	5.141	70.2411951219512	United Arab Emirates	Middle East & North Africa (all income levels)	United Arab Emirates	1984	3	#00C094
2.56666638010219	#00C094	5.065	70.5941707317073	United Arab Emirates	Middle East & North Africa (all income levels)	United Arab Emirates	1985	3	#00C094
2.58337107697627	#00C094	4.973	70.9336341463415	United Arab Emirates	Middle East & North Africa (all income levels)	United Arab Emirates	1986	3	#00C094
