colour	x	y	key	group	clickSelects	showSelected1	PANEL
#00C094	6.928	1960	United Arab Emirates	191	United Arab Emirates	Middle East & North Africa	1
#00C094	6.91	1961	United Arab Emirates	191	United Arab Emirates	Middle East & North Africa	1
#00C094	6.893	1962	United Arab Emirates	191	United Arab Emirates	Middle East & North Africa	1
#00C094	6.877	1963	United Arab Emirates	191	United Arab Emirates	Middle East & North Africa	1
#00C094	6.861	1964	United Arab Emirates	191	United Arab Emirates	Middle East & North Africa	1
#00C094	6.841	1965	United Arab Emirates	191	United Arab Emirates	Middle East & North Africa	1
#00C094	6.816	1966	United Arab Emirates	191	United Arab Emirates	Middle East & North Africa	1
#00C094	6.783	1967	United Arab Emirates	191	United Arab Emirates	Middle East & North Africa	1
#00C094	6.738	1968	United Arab Emirates	191	United Arab Emirates	Middle East & North Africa	1
#00C094	6.679	1969	United Arab Emirates	191	United Arab Emirates	Middle East & North Africa	1
#00C094	6.605	1970	United Arab Emirates	191	United Arab Emirates	Middle East & North Africa	1
#00C094	6.512	1971	United Arab Emirates	191	United Arab Emirates	Middle East & North Africa	1
#00C094	6.402	1972	United Arab Emirates	191	United Arab Emirates	Middle East & North Africa	1
#00C094	6.279	1973	United Arab Emirates	191	United Arab Emirates	Middle East & North Africa	1
#00C094	6.146	1974	United Arab Emirates	191	United Arab Emirates	Middle East & North Africa	1
#00C094	6.009	1975	United Arab Emirates	191	United Arab Emirates	Middle East & North Africa	1
#00C094	5.873	1976	United Arab Emirates	191	United Arab Emirates	Middle East & North Africa	1
#00C094	5.744	1977	United Arab Emirates	191	United Arab Emirates	Middle East & North Africa	1
#00C094	5.624	1978	United Arab Emirates	191	United Arab Emirates	Middle East & North Africa	1
#00C094	5.517	1979	United Arab Emirates	191	United Arab Emirates	Middle East & North Africa	1
#00C094	5.423	1980	United Arab Emirates	191	United Arab Emirates	Middle East & North Africa	1
#00C094	5.344	1981	United Arab Emirates	191	United Arab Emirates	Middle East & North Africa	1
#00C094	5.274	1982	United Arab Emirates	191	United Arab Emirates	Middle East & North Africa	1
#00C094	5.209	1983	United Arab Emirates	191	United Arab Emirates	Middle East & North Africa	1
#00C094	5.141	1984	United Arab Emirates	191	United Arab Emirates	Middle East & North Africa	1
#00C094	5.065	1985	United Arab Emirates	191	United Arab Emirates	Middle East & North Africa	1
#00C094	4.973	1986	United Arab Emirates	191	United Arab Emirates	Middle East & North Africa	1
#00C094	4.86	1987	United Arab Emirates	191	United Arab Emirates	Middle East & North Africa	1
#00C094	4.724	1988	United Arab Emirates	191	United Arab Emirates	Middle East & North Africa	1
