colour	x	y	group	showSelectedlegendcolourfill	clickSelects	PANEL
#A58AFF	1960	31.1320975609756	1	South Asia	Afghanistan	4
#A58AFF	1961	31.4752926829268	1	South Asia	Afghanistan	4
#A58AFF	1962	31.8320243902439	1	South Asia	Afghanistan	4
#A58AFF	1963	32.2042682926829	1	South Asia	Afghanistan	4
#A58AFF	1964	32.5910487804878	1	South Asia	Afghanistan	4
#A58AFF	1965	32.9898780487805	1	South Asia	Afghanistan	4
#A58AFF	1966	33.3967317073171	1	South Asia	Afghanistan	4
#A58AFF	1967	33.8091463414634	1	South Asia	Afghanistan	4
#A58AFF	1968	34.2230731707317	1	South Asia	Afghanistan	4
#A58AFF	1969	34.637512195122	1	South Asia	Afghanistan	4
#A58AFF	1970	35.0559756097561	1	South Asia	Afghanistan	4
#A58AFF	1971	35.4814146341463	1	South Asia	Afghanistan	4
#A58AFF	1972	35.9168780487805	1	South Asia	Afghanistan	4
#A58AFF	1973	36.3613170731707	1	South Asia	Afghanistan	4
#A58AFF	1974	36.8107317073171	1	South Asia	Afghanistan	4
#A58AFF	1975	37.2571219512195	1	South Asia	Afghanistan	4
#A58AFF	1976	37.6909756097561	1	South Asia	Afghanistan	4
#A58AFF	1977	38.1062926829268	1	South Asia	Afghanistan	4
#A58AFF	1978	38.4965853658537	1	South Asia	Afghanistan	4
#A58AFF	1979	38.8618536585366	1	South Asia	Afghanistan	4
#A58AFF	1980	39.2041219512195	1	South Asia	Afghanistan	4
#A58AFF	1981	39.5269512195122	1	South Asia	Afghanistan	4
#A58AFF	1982	39.8398292682927	1	South Asia	Afghanistan	4
#A58AFF	1983	40.149243902439	1	South Asia	Afghanistan	4
#A58AFF	1984	40.4586829268293	1	South Asia	Afghanistan	4
#A58AFF	1985	40.7705853658537	1	South Asia	Afghanistan	4
#A58AFF	1986	41.0848780487805	1	South Asia	Afghanistan	4
#A58AFF	1987	41.399	1	South Asia	Afghanistan	4
#A58AFF	1988	41.7109268292683	1	South Asia	Afghanistan	4
#A58AFF	1989	42.0211951219512	1	South Asia	Afghanistan	4
#A58AFF	1990	42.3293658536585	1	South Asia	Afghanistan	4
#A58AFF	1991	42.636	1	South Asia	Afghanistan	4
#A58AFF	1992	42.9397317073171	1	South Asia	Afghanistan	4
#A58AFF	1993	43.2420975609756	1	South Asia	Afghanistan	4
#A58AFF	1994	43.5426585365854	1	South Asia	Afghanistan	4
#A58AFF	1995	43.8409024390244	1	South Asia	Afghanistan	4
#A58AFF	1996	44.1368048780488	1	South Asia	Afghanistan	4
#A58AFF	1997	44.4298048780488	1	South Asia	Afghanistan	4
#A58AFF	1998	44.7213414634146	1	South Asia	Afghanistan	4
#A58AFF	1999	45.0098536585366	1	South Asia	Afghanistan	4
#A58AFF	2000	45.2928536585366	1	South Asia	Afghanistan	4
#A58AFF	2001	45.5672682926829	1	South Asia	Afghanistan	4
#A58AFF	2002	45.8331463414634	1	South Asia	Afghanistan	4
#A58AFF	2003	46.0924390243902	1	South Asia	Afghanistan	4
#A58AFF	2004	46.3511951219512	1	South Asia	Afghanistan	4
#A58AFF	2005	46.6164146341463	1	South Asia	Afghanistan	4
#A58AFF	2006	46.8990975609756	1	South Asia	Afghanistan	4
#A58AFF	2007	47.2053170731707	1	South Asia	Afghanistan	4
#A58AFF	2008	47.5385609756098	1	South Asia	Afghanistan	4
#A58AFF	2009	47.8988536585366	1	South Asia	Afghanistan	4
#A58AFF	2010	48.2821951219512	1	South Asia	Afghanistan	4
#A58AFF	2011	48.6805853658537	1	South Asia	Afghanistan	4
#C49A00	1960	62.2543658536585	2	Europe & Central Asia (all income levels)	Albania	4
#C49A00	1961	63.2734634146342	2	Europe & Central Asia (all income levels)	Albania	4
#C49A00	1962	64.1623414634146	2	Europe & Central Asia (all income levels)	Albania	4
#C49A00	1963	64.8870975609756	2	Europe & Central Asia (all income levels)	Albania	4
